airport_id,airport_name,city,country,iata,icao,latitude,longitude,timezone
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,Pacific/Port_Moresby
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,Pacific/Port_Moresby
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,Pacific/Port_Moresby
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,Pacific/Port_Moresby
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,Pacific/Port_Moresby
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,Pacific/Port_Moresby
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,America/Godthab
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,America/Godthab
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,America/Godthab
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,America/Thule
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,Atlantic/Reykjavik
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,Atlantic/Reykjavik
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,Atlantic/Reykjavik
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,Atlantic/Reykjavik
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.135299682617188,Atlantic/Reykjavik
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,Atlantic/Reykjavik
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,Atlantic/Reykjavik
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,Atlantic/Reykjavik
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,Atlantic/Reykjavik
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.278900146484375,Atlantic/Reykjavik
